[28/9/2017 1:10:17] /down
[28/9/2017 1:10:18] /down
[28/9/2017 1:10:22] /newtype 352
[28/9/2017 1:10:28] /newtype 353
[28/9/2017 1:10:32] /newtype 252
[28/9/2017 1:10:42] /town 2
[28/9/2017 1:10:46] /down
[28/9/2017 1:10:47] /down
[28/9/2017 1:10:55] /a 10
[28/9/2017 1:10:55] /a 10
[28/9/2017 1:10:55] /a 10
[28/9/2017 1:10:56] /a 10
[28/9/2017 1:10:56] /a 10
[28/9/2017 1:10:56] /a 10
[28/9/2017 1:10:56] /a 10
[28/9/2017 1:10:57] /a 10
[28/9/2017 1:10:57] /a 10
[28/9/2017 1:10:57] /a 10
[28/9/2017 1:10:58] /a 10
[28/9/2017 1:10:58] /a 10
[28/9/2017 1:10:58] /a 10
[28/9/2017 1:10:58] /a 10
[28/9/2017 1:10:59] /a 10
[28/9/2017 1:10:59] /a 10
[28/9/2017 1:10:59] /a 10
[28/9/2017 1:10:59] /a 10
[28/9/2017 1:11:0] /a 10
[28/9/2017 1:11:0] /a 10
[28/9/2017 1:11:0] /a 10
[28/9/2017 1:11:1] /a 10
[28/9/2017 1:11:1] /a 10
[28/9/2017 1:11:2] /a 10
[28/9/2017 1:11:2] /a 10
[28/9/2017 1:11:2] /a 10
[28/9/2017 1:11:2] /a 10
[28/9/2017 1:11:2] /a 10
[28/9/2017 1:11:2] /a 10
[28/9/2017 1:11:2] /a 10
[28/9/2017 1:11:2] /a 10
[28/9/2017 1:11:2] /a 10
[28/9/2017 1:11:3] /a 10
[28/9/2017 1:11:3] /a 10
[28/9/2017 1:11:3] /a 10
[28/9/2017 1:11:3] /a 10
[28/9/2017 1:11:3] /a 10
[28/9/2017 1:11:3] /a 10
[28/9/2017 1:11:3] /a 10
[28/9/2017 1:11:3] /a 10
[28/9/2017 1:11:3] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:4] /a 10
[28/9/2017 1:11:5] /a 10
[28/9/2017 1:11:5] /a 10
[28/9/2017 1:11:6] /a 10
[28/9/2017 1:11:6] /a 10
[28/9/2017 1:11:6] /a 10
[28/9/2017 1:11:6] /a 10
[28/9/2017 1:11:7] /a 10
[28/9/2017 1:11:8] /a 10
[28/9/2017 1:11:8] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:9] /a 10
[28/9/2017 1:11:11] /a 10
[28/9/2017 1:11:11] /a 10
[28/9/2017 1:11:11] /a 10
[28/9/2017 1:11:12] /a 10
[28/9/2017 1:11:12] /a 10
[28/9/2017 1:11:12] /a 10
[28/9/2017 1:11:12] /a 10
[28/9/2017 1:11:12] /a 10
[28/9/2017 1:11:12] /a 10
[28/9/2017 1:11:12] /a 10
[28/9/2017 1:11:12] /a 10
[28/9/2017 1:11:12] /a 10
[28/9/2017 1:11:12] /a 10
[28/9/2017 1:11:12] /a 10
[28/9/2017 1:11:13] /a 10
[28/9/2017 1:11:13] /a 10
[28/9/2017 1:11:13] /a 10
[28/9/2017 1:11:13] /a 10
[28/9/2017 1:11:13] /a 10
[28/9/2017 1:11:14] /a 10
[28/9/2017 1:11:14] /a 10
[28/9/2017 1:11:14] /a 10
[28/9/2017 1:11:14] /a 10
[28/9/2017 1:11:14] /a 10
[28/9/2017 1:11:14] /a 10
[28/9/2017 1:11:14] /a 10
[28/9/2017 1:11:17] /a 10
[28/9/2017 1:11:18] /a 10
[28/9/2017 1:11:18] /a 10
[28/9/2017 1:11:18] /a 10
[28/9/2017 1:11:18] /a 10
[28/9/2017 1:11:19] /a 10
[28/9/2017 1:11:19] /a 10
[28/9/2017 1:11:20] /a 10
[28/9/2017 1:11:20] /a 10
[28/9/2017 1:11:21] /a 10
[28/9/2017 1:11:21] /a 10
[28/9/2017 1:11:22] /a 10
