[29/04/2012 20:47:40] /b Vip  Compra Comigo Agora
[29/04/2012 20:47:59] /b 10kk
[29/04/2012 20:50:31] !buyvip
[29/04/2012 20:54:43] /b Adm Vem Aqui
[29/04/2012 20:55:07] /b Calma Gente Sou Só 1
[29/04/2012 20:55:17] /ghost
[29/04/2012 20:55:22] /ghost
[29/04/2012 20:55:56] /b Gente Vou Organizar Aqui
[29/04/2012 21:10:16] /newtype 302
[29/04/2012 21:10:19] /newtype 301
[29/04/2012 21:10:21] /newtype 300
[29/04/2012 21:10:24] /newtype 299
[29/04/2012 21:10:33] /newtype 307
[29/04/2012 21:10:36] /newtype 306
[29/04/2012 21:10:37] /newtype 305
[29/04/2012 21:10:40] /newtype 304
[29/04/2012 21:10:47] /newtype 303
[29/04/2012 21:10:56] /newtype 302
[29/04/2012 21:10:59] /newtype 298
[29/04/2012 21:11:01] /newtype 297
[29/04/2012 21:11:03] /newtype 296
[29/04/2012 21:11:04] /newtype 295
[29/04/2012 21:11:07] /newtype 294
[29/04/2012 21:11:10] /newtype 293
[29/04/2012 21:11:15] /newtype 292
[29/04/2012 21:11:16] /newtype 291
[29/04/2012 21:11:19] /newtype 290
[29/04/2012 21:11:36] /c mitchie
[29/04/2012 21:11:41] /newtype 289
[29/04/2012 21:11:42] /newtype 288
[29/04/2012 21:11:44] /newtype 286
[29/04/2012 21:11:48] /newtype 285
[29/04/2012 21:11:52] /newtype 284
[29/04/2012 21:11:53] /newtype 283
[29/04/2012 21:11:55] /newtype 22
[29/04/2012 21:11:57] /newtype 282
[29/04/2012 21:11:59] /newtype 281
[29/04/2012 21:12:00] /newtype 280
[29/04/2012 21:12:15] /newtype 279
[29/04/2012 21:12:20] /newtype 279
[29/04/2012 21:12:24] /newtype 278
[29/04/2012 21:12:26] /newtype 277
[29/04/2012 21:12:29] /newtype 276
[29/04/2012 21:12:30] /newtype 27
[29/04/2012 21:12:32] /newtype 24
[29/04/2012 21:12:41] /newtype 275
[29/04/2012 21:12:43] /newtype 274
[29/04/2012 21:12:44] /newtype 273
[29/04/2012 21:12:50] /newtype 271
[29/04/2012 21:12:54] /newtype 270
