[1/3/2021 0:29:55] /a 10
[1/3/2021 0:29:55] /a 10
[1/3/2021 0:29:55] /a 10
[1/3/2021 0:29:56] /a 10
[1/3/2021 0:29:56] /a 10
[1/3/2021 0:29:56] /a 10
[1/3/2021 0:29:57] /a 10
[1/3/2021 0:29:57] /a 10
[1/3/2021 0:29:57] /a 10
[1/3/2021 0:29:58] /a 10
[1/3/2021 0:37:55] /goto hyro
[1/3/2021 0:38:33] /down
[1/3/2021 0:38:35] /a 2
[1/3/2021 0:38:36] /a 2
[1/3/2021 0:38:39] /a 30
[1/3/2021 0:38:39] /a 30
[1/3/2021 0:38:41] /a 30
[1/3/2021 0:38:44] /a 30
[1/3/2021 0:39:0] /c tsunade senju
[1/3/2021 0:39:12] /a 30
[1/3/2021 0:39:12] /a 30
[1/3/2021 0:39:13] /a 30
[1/3/2021 0:39:16] /a 10
[1/3/2021 0:39:23] /c tsunade senju
[1/3/2021 0:39:58] /c tsunade senju
[1/3/2021 0:41:53] /goto tsunade senju
[1/3/2021 0:53:28] /t
[1/3/2021 0:53:34] /b Boa noite galerinha do bem
[1/3/2021 0:54:22] /b Como voces estao ?
[1/3/2021 0:55:59] /goto koutuka teu kou
[1/3/2021 0:58:2] /goto koutuka teu kou
[1/3/2021 1:12:35] /goto weapon specialist
[1/3/2021 1:22:10] /goto tsunade senju
[1/3/2021 1:22:14] /goto tsunade senju
[1/3/2021 1:22:17] /goto tsunade senju
[1/3/2021 1:22:18] /goto tsunade senju
[1/3/2021 1:22:20] /goto tsunade senju
[1/3/2021 1:22:22] /goto tsunade senju
[1/3/2021 1:22:23] /goto tsunade senju
[1/3/2021 1:22:24] /goto tsunade senju
[1/3/2021 1:22:25] /goto tsunade senju
[1/3/2021 1:22:26] /goto tsunade senju
[1/3/2021 1:22:27] /goto tsunade senju
[1/3/2021 1:22:48] /goto tsunade senju
[1/3/2021 1:22:50] /goto tsunade senju
[1/3/2021 1:22:51] /goto tsunade senju
[1/3/2021 1:22:51] /goto tsunade senju
[1/3/2021 1:22:52] /goto tsunade senju
